"","Pitcher","TaggedPitchType","Max_Velo","Max_Spin","MaxVelo_Ranking","MaxVelo_Percentile","MaxSpin_Ranking","MaxSpin_Percentile"
"1","Foster, Larry","Fastball",92.45,2267,8,53,12,29
"2","Grimes, Barry","Fastball",93.19,2163,6,65,15,12
"3","Sentz, Carson","Fastball",93.67,2367,5,71,4,76
"4","Kinder, Terry","Fastball",91.28,2484,12,29,2,88
"5","Nichols, Jimmy","Fastball",93.81,2011,4,76,16,6
"6","Watson, Alex","Fastball",91.41,2300,10,41,10,41
"7","Jones, Tory","Fastball",92.3,2573,9,47,1,94
"8","De Los Santos, Dave","Fastball",90.5,2367,14,18,4,76
"9","Manning, Corey","Fastball",94.7,2240,2,88,13,24
"10","Alton, Jared","Fastball",89.41,2276,15,12,11,35
"11","Bonds, Anthony","Fastball",95.77,2344,1,94,7,59
"12","Saunders, Colson","Fastball",88.04,2452,16,6,3,82
"13","Birton, Manny","Fastball",90.84,2334,13,24,8,53
"14","Murphy, Mark","Fastball",91.34,2198,11,35,14,18
"15","Thompson, Clark","Fastball",93.92,2330,3,82,9,47
"16","Loop, Ned","Fastball",92.96,2348,7,59,6,65
"17","George, Ryan","Fastball",83.43,2003,17,0,17,0
"18","Foster, Larry","Low",0,0,20,-5,20,-5
"19","Grimes, Barry","Low",0,0,20,-5,20,-5
"20","Sentz, Carson","Low",0,0,20,-5,20,-5
"21","Kinder, Terry","Low",0,0,20,-5,20,-5
"22","Nichols, Jimmy","Low",0,0,20,-5,20,-5
"23","Watson, Alex","Low",0,0,20,-5,20,-5
"24","Jones, Tory","Low",0,0,20,-5,20,-5
"25","De Los Santos, Dave","Low",0,0,20,-5,20,-5
"26","Manning, Corey","Low",0,0,20,-5,20,-5
"27","Alton, Jared","Low",0,0,20,-5,20,-5
"28","Bonds, Anthony","Low",0,0,20,-5,20,-5
"29","Saunders, Colson","Low",0,0,20,-5,20,-5
"30","Birton, Manny","Low",0,0,20,-5,20,-5
"31","Murphy, Mark","Low",0,0,20,-5,20,-5
"32","Thompson, Clark","Low",0,0,20,-5,20,-5
"33","Loop, Ned","Low",0,0,20,-5,20,-5
"34","George, Ryan","Low",0,0,20,-5,20,-5
"35","Foster, Larry","High",100,100,1,105,1,105
"36","Grimes, Barry","High",100,100,1,105,1,105
"37","Sentz, Carson","High",100,100,1,105,1,105
"38","Kinder, Terry","High",100,100,1,105,1,105
"39","Nichols, Jimmy","High",100,100,1,105,1,105
"40","Watson, Alex","High",100,100,1,105,1,105
"41","Jones, Tory","High",100,100,1,105,1,105
"42","De Los Santos, Dave","High",100,100,1,105,1,105
"43","Manning, Corey","High",100,100,1,105,1,105
"44","Alton, Jared","High",100,100,1,105,1,105
"45","Bonds, Anthony","High",100,100,1,105,1,105
"46","Saunders, Colson","High",100,100,1,105,1,105
"47","Birton, Manny","High",100,100,1,105,1,105
"48","Murphy, Mark","High",100,100,1,105,1,105
"49","Thompson, Clark","High",100,100,1,105,1,105
"50","Loop, Ned","High",100,100,1,105,1,105
"51","George, Ryan","High",100,100,1,105,1,105
