"","Pitcher","TaggedPitchType","RelSpeed","is_fastball"
"1","Foster, Larry","Fastball",88.12232,"yes"
"2","Foster, Larry","Fastball",91.50568,"yes"
"3","Foster, Larry","Sinker",79.84393,"yes"
"4","Foster, Larry","Fastball",92.19928,"yes"
"5","Foster, Larry","Fastball",92.0914,"yes"
"6","Foster, Larry","ChangeUp",86.44108,"no"
"7","Foster, Larry","Fastball",91.51572,"yes"
"8","Foster, Larry","Slider",82.46267,"no"
"9","Foster, Larry","Fastball",91.55886,"yes"
"10","Foster, Larry","Slider",80.50259,"no"
"11","Grimes, Barry","Fastball",93.18959,"yes"
"12","Grimes, Barry","Fastball",92.99682,"yes"
"13","Grimes, Barry","ChangeUp",84.91246,"no"
"14","Grimes, Barry","ChangeUp",85.20767,"no"
"15","Sentz, Carson","Slider",80.53055,"no"
"16","Sentz, Carson","Fastball",90.84984,"yes"
"17","Sentz, Carson","Slider",80.27484,"no"
"18","Sentz, Carson","ChangeUp",84.39239,"no"
"19","Sentz, Carson","Slider",78.58003,"no"
"20","Sentz, Carson","Fastball",92.57287,"yes"
"21","Sentz, Carson","Slider",80.16359,"no"
"22","Sentz, Carson","Fastball",92.37418,"yes"
"23","Sentz, Carson","Fastball",91.92959,"yes"
"24","Sentz, Carson","Slider",81.48564,"no"
"25","Foster, Larry","ChangeUp",85.85137,"no"
"26","Foster, Larry","Fastball",90.8825,"yes"
"27","Foster, Larry","Fastball",89.41541,"yes"
"28","Foster, Larry","Fastball",90.7212,"yes"
"29","Foster, Larry","ChangeUp",84.99024,"no"
"30","Foster, Larry","Slider",82.19422,"no"
"31","Foster, Larry","Fastball",91.60137,"yes"
"32","Foster, Larry","Slider",81.90712,"no"
"33","Foster, Larry","Slider",80.54719,"no"
"34","Foster, Larry","Fastball",91.5983,"yes"
"35","Foster, Larry","Fastball",90.41695,"yes"
"36","Foster, Larry","ChangeUp",85.10305,"no"
"37","Foster, Larry","Fastball",89.23668,"yes"
"38","Foster, Larry","Fastball",90.3593,"yes"
"39","Foster, Larry","Slider",78.99447,"no"
"40","Foster, Larry","Fastball",91.86098,"yes"
"41","Foster, Larry","Slider",79.16099,"no"
"42","Foster, Larry","Slider",78.55683,"no"
"43","Foster, Larry","Fastball",90.58278,"yes"
"44","Foster, Larry","Fastball",92.03162,"yes"
"45","Foster, Larry","Fastball",91.20107,"yes"
"46","Foster, Larry","Slider",79.35951,"no"
"47","Foster, Larry","Fastball",89.87603,"yes"
"48","Foster, Larry","ChangeUp",84.27467,"no"
"49","Foster, Larry","Fastball",91.01296,"yes"
"50","Foster, Larry","Fastball",90.7955,"yes"
"51","Foster, Larry","ChangeUp",84.80484,"no"
"52","Foster, Larry","Slider",80.45791,"no"
"53","Foster, Larry","Slider",80.15333,"no"
"54","Foster, Larry","Fastball",91.72772,"yes"
"55","Foster, Larry","Slider",79.35975,"no"
"56","Foster, Larry","Fastball",90.50664,"yes"
"57","Foster, Larry","Slider",79.43551,"no"
"58","Foster, Larry","Slider",81.31952,"no"
"59","Foster, Larry","Fastball",90.33626,"yes"
"60","Grimes, Barry","Fastball",91.93428,"yes"
"61","Grimes, Barry","Fastball",91.4558,"yes"
"62","Grimes, Barry","Slider",81.74484,"no"
"63","Sentz, Carson","Fastball",93.67495,"yes"
"64","Sentz, Carson","Fastball",92.74396,"yes"
"65","Sentz, Carson","Fastball",92.02953,"yes"
"66","Sentz, Carson","Fastball",91.52863,"yes"
"67","Sentz, Carson","Fastball",92.71659,"yes"
"68","Sentz, Carson","ChangeUp",85.41996,"no"
"69","Sentz, Carson","ChangeUp",84.85322,"no"
"70","Sentz, Carson","Fastball",92.60255,"yes"
"71","Sentz, Carson","Fastball",92.40838,"yes"
"72","Sentz, Carson","ChangeUp",83.77746,"no"
"73","Sentz, Carson","Fastball",92.56513,"yes"
"74","Sentz, Carson","Fastball",92.18866,"yes"
"75","Sentz, Carson","Fastball",91.24542,"yes"
"76","Sentz, Carson","Fastball",92.70893,"yes"
"77","Sentz, Carson","Slider",80.78652,"no"
"78","Sentz, Carson","Slider",79.40415,"no"
"79","Sentz, Carson","Fastball",92.39191,"yes"
"80","Sentz, Carson","Fastball",92.68381,"yes"
"81","Sentz, Carson","Fastball",91.87035,"yes"
"82","Sentz, Carson","Slider",79.1588,"no"
"83","Kinder, Terry","ChangeUp",84.05652,"no"
"84","Kinder, Terry","Fastball",91.20823,"yes"
"85","Kinder, Terry","Slider",79.98438,"no"
"86","Foster, Larry","Slider",79.81044,"no"
"87","Foster, Larry","Fastball",89.41256,"yes"
"88","Foster, Larry","ChangeUp",84.07856,"no"
"89","Foster, Larry","Slider",79.4557,"no"
"90","Foster, Larry","Fastball",89.4659,"yes"
"91","Foster, Larry","Slider",80.3131,"no"
"92","Foster, Larry","Fastball",92.45343,"yes"
"93","Foster, Larry","ChangeUp",85.64913,"no"
"94","Foster, Larry","Fastball",90.76989,"yes"
"95","Foster, Larry","Slider",80.05723,"no"
"96","Foster, Larry","Fastball",89.63813,"yes"
"97","Foster, Larry","Fastball",91.27915,"yes"
"98","Foster, Larry","Slider",77.19714,"no"
"99","Foster, Larry","Fastball",92.0825,"yes"
"100","Foster, Larry","Fastball",92.16204,"yes"
"101","Foster, Larry","Fastball",91.97521,"yes"
"102","Foster, Larry","ChangeUp",78.93758,"no"
"103","Foster, Larry","Slider",75.66616,"no"
"104","Foster, Larry","Fastball",91.39538,"yes"
"105","Foster, Larry","Fastball",91.90978,"yes"
"106","Foster, Larry","Slider",76.29442,"no"
"107","Foster, Larry","ChangeUp",79.7874,"no"
"108","Foster, Larry","Fastball",92.41178,"yes"
"109","Foster, Larry","Slider",77.84254,"no"
"110","Nichols, Jimmy","Fastball",92.57224,"yes"
"111","Nichols, Jimmy","Fastball",93.81489,"yes"
"112","Kinder, Terry","ChangeUp",82.85846,"no"
"113","Kinder, Terry","Slider",79.58545,"no"
"114","Kinder, Terry","ChangeUp",83.32261,"no"
"115","Kinder, Terry","ChangeUp",82.71799,"no"
"116","Kinder, Terry","Fastball",90.79275,"yes"
"117","Kinder, Terry","Slider",78.29904,"no"
"118","Kinder, Terry","Slider",79.9433,"no"
"119","Kinder, Terry","Fastball",90.48458,"yes"
"120","Kinder, Terry","Slider",80.16401,"no"
"121","Kinder, Terry","ChangeUp",83.87114,"no"
"122","Kinder, Terry","Slider",80.10116,"no"
"123","Kinder, Terry","Fastball",91.28179,"yes"
"124","Kinder, Terry","Fastball",91.07242,"yes"
"125","Kinder, Terry","Slider",80.84779,"no"
"126","Kinder, Terry","Slider",80.08815,"no"
"127","Kinder, Terry","Fastball",90.95606,"yes"
"128","Watson, Alex","Slider",75.46655,"no"
"129","Watson, Alex","Slider",77.05363,"no"
"130","Watson, Alex","Slider",77.76847,"no"
"131","Watson, Alex","Fastball",91.40873,"yes"
"132","Watson, Alex","Slider",78.51358,"no"
"133","Watson, Alex","Slider",77.84171,"no"
