"","Date","PitcherTeam","Pitcher","TaggedPitchType","Max Velo","Max Spin","MaxVelo_percentile","MaxVelo_ranking","MaxSpin_percentile","MaxSpin_ranking"
"1","3/9/2021","Great North Coyotes","Foster, Larry","Fastball",92.5,2267,53,8,29,12
"2","3/9/2021","Down South Gators","Grimes, Barry","Fastball",93.2,2163,65,6,12,15
"3","3/9/2021","Down South Gators","Sentz, Carson","Fastball",93.7,2367,71,5,76,4
"4","3/9/2021","Down South Gators","Kinder, Terry","Fastball",91.3,2484,35,11,88,2
"5","3/9/2021","Great North Coyotes","Nichols, Jimmy","Fastball",93.8,2011,76,4,6,16
"6","3/9/2021","Down South Gators","Watson, Alex","Fastball",91.4,2300,41,10,41,10
"7","3/9/2021","Down South Gators","Jones, Tory","Fastball",92.3,2573,47,9,94,1
"8","3/9/2021","Down South Gators","De Los Santos, Dave","Fastball",90.5,2367,18,14,71,5
"9","3/9/2021","Great North Coyotes","Manning, Corey","Fastball",94.7,2240,88,2,24,13
"10","3/9/2021","Great North Coyotes","Alton, Jared","Fastball",89.4,2276,12,15,35,11
"11","3/9/2021","Great North Coyotes","Bonds, Anthony","Fastball",95.8,2344,94,1,59,7
"12","3/9/2021","Great North Coyotes","Saunders, Colson","Fastball",88,2452,6,16,82,3
"13","3/9/2021","Down South Gators","Birton, Manny","Fastball",90.8,2334,24,13,53,8
"14","3/9/2021","Great North Coyotes","Murphy, Mark","Fastball",91.3,2198,29,12,18,14
"15","3/9/2021","Down South Gators","Thompson, Clark","Fastball",93.9,2330,82,3,47,9
"16","3/9/2021","Down South Gators","Loop, Ned","Fastball",93,2348,59,7,65,6
"17","3/9/2021","Down South Gators","George, Ryan","Fastball",83.4,2003,0,17,0,17
"18","3/9/2021","Great North Coyotes","Foster, Larry","Low",0,0,-5,20,-5,20
"19","3/9/2021","Down South Gators","Grimes, Barry","Low",0,0,-5,20,-5,20
"20","3/9/2021","Down South Gators","Sentz, Carson","Low",0,0,-5,20,-5,20
"21","3/9/2021","Down South Gators","Kinder, Terry","Low",0,0,-5,20,-5,20
"22","3/9/2021","Great North Coyotes","Nichols, Jimmy","Low",0,0,-5,20,-5,20
"23","3/9/2021","Down South Gators","Watson, Alex","Low",0,0,-5,20,-5,20
"24","3/9/2021","Down South Gators","Jones, Tory","Low",0,0,-5,20,-5,20
"25","3/9/2021","Down South Gators","De Los Santos, Dave","Low",0,0,-5,20,-5,20
"26","3/9/2021","Great North Coyotes","Manning, Corey","Low",0,0,-5,20,-5,20
"27","3/9/2021","Great North Coyotes","Alton, Jared","Low",0,0,-5,20,-5,20
"28","3/9/2021","Great North Coyotes","Bonds, Anthony","Low",0,0,-5,20,-5,20
"29","3/9/2021","Great North Coyotes","Saunders, Colson","Low",0,0,-5,20,-5,20
"30","3/9/2021","Down South Gators","Birton, Manny","Low",0,0,-5,20,-5,20
"31","3/9/2021","Great North Coyotes","Murphy, Mark","Low",0,0,-5,20,-5,20
"32","3/9/2021","Down South Gators","Thompson, Clark","Low",0,0,-5,20,-5,20
"33","3/9/2021","Down South Gators","Loop, Ned","Low",0,0,-5,20,-5,20
"34","3/9/2021","Down South Gators","George, Ryan","Low",0,0,-5,20,-5,20
"35","3/9/2021","Great North Coyotes","Foster, Larry","High",100,100,105,1,105,1
"36","3/9/2021","Down South Gators","Grimes, Barry","High",100,100,105,1,105,1
"37","3/9/2021","Down South Gators","Sentz, Carson","High",100,100,105,1,105,1
"38","3/9/2021","Down South Gators","Kinder, Terry","High",100,100,105,1,105,1
"39","3/9/2021","Great North Coyotes","Nichols, Jimmy","High",100,100,105,1,105,1
"40","3/9/2021","Down South Gators","Watson, Alex","High",100,100,105,1,105,1
"41","3/9/2021","Down South Gators","Jones, Tory","High",100,100,105,1,105,1
"42","3/9/2021","Down South Gators","De Los Santos, Dave","High",100,100,105,1,105,1
"43","3/9/2021","Great North Coyotes","Manning, Corey","High",100,100,105,1,105,1
"44","3/9/2021","Great North Coyotes","Alton, Jared","High",100,100,105,1,105,1
"45","3/9/2021","Great North Coyotes","Bonds, Anthony","High",100,100,105,1,105,1
"46","3/9/2021","Great North Coyotes","Saunders, Colson","High",100,100,105,1,105,1
"47","3/9/2021","Down South Gators","Birton, Manny","High",100,100,105,1,105,1
"48","3/9/2021","Great North Coyotes","Murphy, Mark","High",100,100,105,1,105,1
"49","3/9/2021","Down South Gators","Thompson, Clark","High",100,100,105,1,105,1
"50","3/9/2021","Down South Gators","Loop, Ned","High",100,100,105,1,105,1
"51","3/9/2021","Down South Gators","George, Ryan","High",100,100,105,1,105,1
