"season","gamedate","team","opponent","home","win"
2014,2015-04-15,"SAC","LAL",0,1
2014,2015-04-15,"NYK","DET",1,0
2014,2015-04-15,"DEN","GSW",0,0
2014,2015-04-15,"MIA","PHI",0,1
2014,2015-04-15,"UTA","HOU",0,0
2014,2015-04-15,"LAL","SAC",1,0
2014,2015-04-15,"GSW","DEN",1,1
2014,2015-04-15,"NOP","SAS",1,1
2014,2015-04-15,"BOS","MIL",0,1
2014,2015-04-15,"ORL","BKN",0,0
2014,2015-04-15,"ATL","CHI",0,0
2014,2015-04-15,"SAS","NOP",0,0
2014,2015-04-15,"POR","DAL",0,0
2014,2015-04-15,"HOU","UTA",1,1
2014,2015-04-15,"MIL","BOS",1,0
2014,2015-04-15,"TOR","CHA",1,1
2014,2015-04-15,"OKC","MIN",0,1
2014,2015-04-15,"BKN","ORL",1,1
2014,2015-04-15,"CHA","TOR",0,0
2014,2015-04-15,"MEM","IND",1,1
2014,2015-04-15,"CLE","WAS",1,1
2014,2015-04-15,"CHI","ATL",1,1
2014,2015-04-15,"DAL","POR",1,1
2014,2015-04-15,"DET","NYK",0,1
2014,2015-04-15,"WAS","CLE",0,0
2014,2015-04-15,"IND","MEM",0,0
2014,2015-04-15,"PHI","MIA",1,0
2014,2015-04-15,"MIN","OKC",1,0
2014,2015-04-14,"BOS","TOR",1,1
2014,2015-04-14,"PHX","LAC",1,0
2014,2015-04-14,"LAC","PHX",0,1
2014,2015-04-14,"WAS","IND",0,0
2014,2015-04-14,"IND","WAS",1,1
2014,2015-04-14,"TOR","BOS",0,0
2014,2015-04-13,"PHI","MIL",1,0
2014,2015-04-13,"OKC","POR",1,1
2014,2015-04-13,"UTA","DAL",1,1
2014,2015-04-13,"NOP","MIN",0,1
2014,2015-04-13,"LAL","SAC",0,0
2014,2015-04-13,"BKN","CHI",1,0
2014,2015-04-13,"DEN","LAC",0,0
2014,2015-04-13,"DAL","UTA",0,0
2014,2015-04-13,"MIA","ORL",1,1
2014,2015-04-13,"GSW","MEM",1,1
2014,2015-04-13,"SAC","LAL",1,1
2014,2015-04-13,"MIL","PHI",0,1
2014,2015-04-13,"HOU","CHA",0,1
2014,2015-04-13,"POR","OKC",0,0
2014,2015-04-13,"ORL","MIA",0,0
2014,2015-04-13,"NYK","ATL",0,1
2014,2015-04-13,"MIN","NOP",1,0
2014,2015-04-13,"CHA","HOU",1,0
2014,2015-04-13,"CHI","BKN",0,1
2014,2015-04-13,"CLE","DET",1,1
2014,2015-04-13,"LAC","DEN",1,1
2014,2015-04-13,"MEM","GSW",0,0
2014,2015-04-13,"ATL","NYK",1,0
2014,2015-04-13,"DET","CLE",0,0
2014,2015-04-12,"ATL","WAS",0,0
2014,2015-04-12,"DAL","LAL",0,1
2014,2015-04-12,"DEN","SAC",1,1
2014,2015-04-12,"OKC","IND",0,0
2014,2015-04-12,"IND","OKC",1,1
2014,2015-04-12,"WAS","ATL",1,1
2014,2015-04-12,"PHX","SAS",0,0
2014,2015-04-12,"LAL","DAL",1,0
2014,2015-04-12,"NOP","HOU",0,0
2014,2015-04-12,"DET","CHA",1,1
2014,2015-04-12,"BOS","CLE",1,1
2014,2015-04-12,"SAS","PHX",1,1
2014,2015-04-12,"HOU","NOP",1,1
2014,2015-04-12,"MIL","BKN",1,1
2014,2015-04-12,"SAC","DEN",0,0
2014,2015-04-12,"BKN","MIL",0,0
2014,2015-04-12,"CHA","DET",0,0
2014,2015-04-12,"CLE","BOS",0,0
2014,2015-04-11,"MIN","GSW",0,0
