BatterId,PA,Pitches/PA,OBP,SLG,K%,BB%,H%,Two-Strike Reached %,Two-Strike Hit%,Two-Strike OBP,Early-PA %,Early-PA OBP
1,2,2.5,0.5,0.5,0,0,50,0,0,0,100,0.5
2,5,4.2,0,0,80,0,0,20,0,0,40,0
3,1,2,1,1,0,0,100,0,0,0,100,1
4,9,3.67,0.222,0.333,0,0,22.2,22.2,0,0,55.6,0.2
5,4,4.5,0.75,0,0,75,0,50,0,1,25,0
6,4,4,0.25,0.333,25,0,25,50,0,0,50,0.5
7,5,4,0.4,0.5,20,0,40,40,50,0.5,40,0.5
8,2,4.5,0,0,50,0,0,50,0,0,0,0
9,1,6,0,0,100,0,0,100,0,0,0,0
10,1,6,0,0,100,0,0,100,0,0,0,0
11,3,3.67,0,0,66.7,0,0,0,0,0,66.7,0
12,4,3.25,0.25,0.333,25,0,25,25,0,0,75,0.333
13,9,4.22,0.222,0.8,33.3,11.1,11.1,11.1,0,0,11.1,1
14,5,3.4,0.4,1,20,0,40,40,50,0.5,60,0.333
15,4,2.75,0,0,25,0,0,25,0,0,75,0
16,3,2.33,0,0,0,0,0,0,0,0,66.7,0
17,5,5,0.4,0.333,20,20,20,60,0,0,20,1
18,7,4.14,0.286,0.25,28.6,14.3,14.3,14.3,0,0,42.9,0
19,10,3.3,0.2,0.333,40,0,20,20,0,0,60,0.333
20,5,3.6,0.2,0.8,0,0,20,40,50,0.5,60,0
21,10,3.6,0.6,0.625,10,10,50,10,0,0,50,0.8
22,1,5,0,0,100,0,0,100,0,0,0,0
23,2,5,1,1,0,50,50,50,0,1,50,1
24,10,3.1,0.4,0.4,0,0,40,20,50,0.5,70,0.429
25,3,4,0,0,0,0,0,66.7,0,0,33.3,0
26,5,2.2,0,0,20,0,0,0,0,0,80,0
27,3,2.33,0,0,0,0,0,0,0,0,66.7,0
28,4,5.25,0,0,75,0,0,50,0,0,25,0
29,5,3.8,0,0,40,0,0,40,0,0,20,0
30,4,5,0.75,1.333,25,0,75,25,100,1,0,0
31,4,4.5,0.25,0.667,25,0,25,50,50,0.5,25,0
32,1,2,0,0,0,0,0,0,0,0,100,0
33,5,4.6,0,0,40,0,0,20,0,0,40,0
34,9,3.22,0.556,0.833,11.1,22.2,33.3,11.1,0,0,55.6,0.4
35,1,6,1,0,0,100,0,0,0,0,0,0
36,2,5,0,0,0,0,0,0,0,0,0,0
37,1,3,0,0,0,0,0,0,0,0,100,0
